member_name,reading,party,faction,constituency,election_count,updated_at
伊東信久,いとう のぶひさ,日本維新の会,日本維新の会,（比）近畿,5,2026-05-19
伊東良孝,いとう よしたか,自由民主党,自由民主党・無所属の会,（比）北海道,7,2026-05-19
井戸まさえ,いど まさえ,国民民主党,国民民主党・無所属クラブ,（比）東京,2,2026-05-19
稲田朋美,いなだ ともみ,自由民主党,自由民主党・無所属の会,福井1,8,2026-05-19
稲葉大輔,いなば だいすけ,自由民主党,自由民主党・無所属の会,静岡8,1,2026-05-19
犬飼明佳,いぬかい あきよし,中道改革連合,中道改革連合・無所属,（比）東海,1,2026-05-19
井野俊郎,いの としろう,自由民主党,自由民主党・無所属の会,群馬2,6,2026-05-19
井上信治,いのうえ しんじ,自由民主党,自由民主党・無所属の会,東京25,9,2026-05-19
井上貴博,いのうえ たかひろ,自由民主党,自由民主党・無所属の会,福岡1,6,2026-05-19
井上英孝,いのうえ ひでたか,日本維新の会,日本維新の会,大阪1,6,2026-05-19
井原巧,いはら たくみ,自由民主党,自由民主党・無所属の会,愛媛2,2,2026-05-19
井原隆,いはら ゆたか,自由民主党,自由民主党・無所属の会,埼玉5,1,2026-05-19
井林辰憲,いばやし たつのり,自由民主党,自由民主党・無所属の会,静岡2,6,2026-05-19
今枝宗一郎,いまえだ そういちろう,自由民主党,自由民主党・無所属の会,愛知14,6,2026-05-19
今岡植,いまおか うえき,自由民主党,自由民主党・無所属の会,東京26,1,2026-05-19
岩崎比菜,いわさき ひな,自由民主党,自由民主党・無所属の会,（比）南関東,1,2026-05-19
岩田和親,いわた かずちか,自由民主党,自由民主党・無所属の会,佐賀1,6,2026-05-19
岩谷良平,いわたに りょうへい,日本維新の会,日本維新の会,大阪13,3,2026-05-19
岩屋毅,いわや たけし,自由民主党,自由民主党・無所属の会,大分3,11,2026-05-19
上杉謙太郎,うえすぎ けんたろう,自由民主党,自由民主党・無所属の会,福島3,3,2026-05-19
上田英俊,うえだ えいしゅん,自由民主党,自由民主党・無所属の会,富山2,3,2026-05-19
上野賢一郎,うえの けんいちろう,自由民主党,自由民主党・無所属の会,滋賀2,7,2026-05-19
上野宏史,うえの ひろし,自由民主党,自由民主党・無所属の会,（比）九州,3,2026-05-19
上原正裕,うえはら まさひろ,自由民主党,自由民主党・無所属の会,神奈川9,1,2026-05-19
浮島智子,うきしま ともこ,中道改革連合,中道改革連合・無所属,（比）北海道,6,2026-05-19
宇佐美登,うさみ のぼる,チームみらい,チームみらい,（比）東京,3,2026-05-19
臼木秀剛,うすき ひでたけ,国民民主党,国民民主党・無所属クラブ,（比）北海道,2,2026-05-19
